species,sex,beak_length,beak_depth,tarsus_length,wing_length,tail_length
Alethe diademata,F,20.6,5.7,24.0,96.0,76.0
Alethe diademata,M,17.8,5.6,22.1,92.0,84.0
Alethe diademata,M,18.3,4.8,26.4,92.0,87.0
Alethe diademata,F,18.1,5.0,24.1,86.0,77.0
Alethe diademata,U,,,,88.0,69.0
Alethe diademata,U,,,,89.0,68.0
Alethe diademata,U,,,,91.0,69.0
Alethe diademata,U,,,,87.0,67.0
Alethe diademata,U,,,,98.0,66.0
Alethe diademata,U,,,,85.0,72.0
Alethe diademata,U,,,,87.0,70.0
Alethe diademata,U,,,,91.0,72.0
Alethe diademata,U,,,,83.0,69.0
Alethe diademata,U,,,,85.0,63.0
Alethe diademata,U,,,,95.0,83.0
Alethe diademata,U,,,,97.0,82.0
Alethe diademata,U,,,,96.0,80.0
Alethe diademata,U,,,,94.0,76.0
Alethe diademata,U,,,,98.0,73.0
Alethe diademata,U,,,,91.0,77.0
Alethe diademata,U,,,,95.0,78.0
Alethe diademata,U,,,,97.0,78.0
Alethe diademata,U,,,,95.0,74.0
Alethe diademata,U,,,,95.0,75.0
Alethe diademata,U,,,,91.0,69.0
Alethe diademata,U,,,,95.0,74.0
Alethe diademata,U,,,,89.0,69.0
Alethe diademata,U,,,,90.0,70.0
Alethe diademata,U,,,,100.0,75.0
Alethe diademata,U,,,,95.0,70.0
Alethe diademata,U,,,,93.0,80.0
Alethe diademata,U,,,,98.0,81.0
Alethe diademata,U,,,,94.0,79.0
Alethe diademata,U,,,,97.0,75.0
Alethe diademata,U,,,,88.0,66.0
Alethe diademata,U,,,,89.0,
Alethe diademata,U,,,,76.0,66.0
Alethe diademata,U,,,,87.0,72.0
Alethe diademata,U,,,,94.0,75.0
Alethe diademata,U,,,,88.0,72.0
Alethe diademata,U,,,,90.0,73.0
Alethe diademata,U,,,,92.0,75.0
Alethe diademata,U,,,,101.0,77.0
Alethe diademata,U,,,,87.0,71.0
Alethe diademata,U,,,,84.0,69.0
Alethe diademata,U,,,,95.0,76.0
Alethe diademata,U,,,,84.0,68.0
Alethe diademata,U,,,,83.0,66.0
Alethe diademata,U,,,,88.0,66.0
Alethe diademata,U,,,,79.0,65.0
Alethe diademata,U,,,,94.0,74.0
Alethe diademata,U,,,,81.0,61.0
Alethe diademata,U,,,,86.0,68.0
Alethe diademata,U,,,,85.0,70.0
Alethe diademata,U,,,,84.0,65.0
Alethe diademata,U,,,,84.0,65.0
Alethe diademata,U,,,,88.0,66.0
Alethe diademata,U,,,,92.0,
Alethe diademata,U,,,,88.0,67.0
Alethe diademata,U,,,,86.0,68.0
Alethe diademata,U,,,,87.0,66.0
Alethe diademata,U,,,,84.0,65.0
Alethe diademata,U,,,,86.0,65.0
Alethe diademata,U,,,,92.0,
Alethe diademata,U,,,,98.0,80.0
Alethe diademata,U,,,,98.0,83.0
Alethe diademata,U,,,,89.0,72.0
Alethe diademata,U,,,,90.0,79.0
Alethe diademata,U,,,,88.0,70.0
Alethe diademata,U,,,,88.0,72.0
Alethe diademata,U,,,,92.0,74.0
Alethe diademata,U,,,,94.0,74.0
Alethe diademata,U,,,,94.0,
Alethe diademata,U,,,,94.0,71.0
Alethe diademata,U,,,,84.0,
Alethe diademata,U,,,,91.0,74.0
Alethe diademata,U,,,,90.0,71.0
Alethe diademata,U,,,,93.0,74.0
Alethe diademata,U,,,,90.0,62.0
Alethe diademata,U,,,,87.0,59.0
Alethe diademata,U,,,,83.0,
Alethe diademata,U,,,,90.0,
Alethe diademata,U,,,,96.0,75.0
Alethe diademata,U,,,,92.0,76.0
Alethe diademata,U,,,,88.0,68.0
Alethe diademata,U,,,,90.0,68.0
Alethe diademata,U,,,,98.0,75.0
Alethe diademata,U,,,,94.0,73.0
Alethe diademata,U,,,,95.0,70.0
Alethe diademata,U,,,,94.0,71.0
Alethe diademata,U,,,,96.0,75.0
Alethe diademata,U,,,,95.0,78.0
Alethe diademata,U,,,,97.0,78.0
Alethe diademata,U,,,,85.0,66.0
Alethe diademata,U,,,,93.0,77.0
Alethe diademata,U,,,,96.0,74.0
Alethe diademata,U,,,,93.0,71.0
Alethe diademata,U,,,,84.0,57.0
Alethe diademata,U,,,,87.0,73.0
Alethe diademata,U,,,,94.0,71.0
Alethe diademata,U,,,,93.0,72.0
Alethe diademata,U,,,,92.0,72.0
Alethe diademata,U,,,,93.0,75.0
Alethe diademata,U,,,,90.0,70.0
Alethe diademata,U,,,,92.0,70.0
Alethe diademata,U,,,,90.0,70.0
Alethe diademata,U,,,,95.0,75.0
Alethe diademata,U,,,,81.0,53.0
Alethe diademata,U,,,,99.0,82.0
Alethe diademata,U,,,,90.0,75.0
Alethe diademata,U,,,,84.0,77.0
Alethe diademata,U,,,,85.0,68.0
Alethe diademata,U,,,,87.0,
Alethe diademata,U,,,,82.0,61.0
Alethe diademata,U,,,,81.0,
Alethe diademata,U,,,,91.0,75.0
Alethe diademata,U,,,,92.0,75.0
Alethe diademata,U,,,,91.0,74.0
Alethe diademata,U,,,,90.0,72.0
Alethe diademata,U,,,,85.0,71.0
Alethe diademata,U,,,,85.0,71.0
Alethe diademata,U,,,,93.0,78.0
Alethe diademata,U,,,,86.0,69.0
Alethe diademata,U,,,,82.0,68.0
Alethe diademata,U,,,,83.0,67.0
Alethe diademata,U,,,,81.0,67.0
Alethe diademata,U,,,,85.0,70.0
Alethe diademata,U,,,,91.0,71.0
Alethe diademata,U,,,,91.0,76.0
Alethe diademata,U,,,,91.0,77.0
Alethe diademata,U,,,,94.0,74.0
Alethe diademata,U,,,,94.0,77.0
Alethe diademata,U,,,,94.0,75.0
Alethe diademata,U,,,,75.0,71.0
Alethe diademata,U,,,,90.0,70.0
Alethe diademata,U,,,,89.0,70.0
Alethe diademata,U,,,,93.0,76.0
Alethe diademata,U,,,,96.0,78.0
Alethe diademata,U,,,,93.0,77.0
Alethe diademata,U,,,,90.0,83.0
Alethe diademata,U,,,,83.0,56.0
Alethe diademata,U,,,,85.0,68.0
Alethe diademata,U,,,,86.0,68.0
Alethe diademata,U,,,,94.0,79.0
Alethe diademata,U,,,,93.0,80.0
Alethe diademata,U,,,,95.0,79.0
Alethe diademata,U,,,,92.0,77.0
Alethe diademata,U,,,,88.0,69.0
Alethe diademata,U,,,,92.0,75.0
Alethe diademata,U,,,,90.0,69.0
Alethe diademata,U,,,,89.0,74.0
Alethe diademata,U,,,,83.0,68.0
Alethe diademata,U,,,,86.0,71.0
Alethe diademata,U,,,,86.0,71.0
Alethe diademata,U,,,,92.0,82.0
Alethe diademata,U,,,,92.0,78.0
Alethe diademata,U,,,,91.0,74.0
Alethe diademata,U,,,,82.0,66.0
Alethe diademata,U,,,,96.0,74.0
