region,distrito,población
Pampeana,Ciudad Autónoma de Buenos Aires,3081550
Pampeana,Provincia de Buenos Aires,17875743
Noroeste,Catamarca,422476
Noreste,Chaco,1227736
Patagonia,Chubut,639294
Pampeana,Cordoba,3835738
Noreste,Corrientes,1139604
Pampeana,Entre Rios,1410908
Noreste,Formosa,614706
Noroeste,Jujuy,787436
Pampeana,La Pampa,364322
Noroeste,La Rioja,403727
Cuyo,Mendoza,2030061
Noreste,Misiones,1288476
Patagonia,Neuquen,680726
Patagonia,Río Negro,766387
Noroeste,Salta,1459378
Cuyo,San Juan,797697
Cuyo,San Luis,520845
Patagonia,Santa Cruz,383827
Pampeana,Santa Fe,3589999
Noroeste,Santiago del Estero,998093
Noroeste,Tucumán,1734118
Patagonia,Tierra del Fuego,181983

