region,state,state code,individuals,individuals male,individuals female,family_members,family_members male,family_members female,pop_state
Pacific,Alaska,AK,1295,981,310,502,190,312,735707
East South Central,Alabama,AL,1165,782,377,461,172,289,5048733
West South Central,Arkansas,AR,1204,800,403,266,98,168,3021085
Mountain,Arizona,AZ,3304,2234,1046,2156,840,1313,7227450
Pacific,California,CA,32910,21041,11434,18519,7495,11009,39766650
Mountain,Colorado,CO,5569,3954,1587,2447,960,1482,5848166
New England,Connecticut,CT,1504,1078,418,661,218,442,3609129
South Atlantic,Delaware,DE,736,477,257,843,340,503,999149
South Atlantic,Florida,FL,8412,6001,2355,4981,1774,3207,21811875
South Atlantic,Georgia,GA,3111,2191,894,2121,669,1363,10814334
Pacific,Hawaii,HI,1142,703,429,1348,625,719,1464768
West North Central,Iowa,IA,1321,906,412,685,257,428,3204770
Mountain,Idaho,ID,591,370,219,426,160,265,1866258
East North Central,Illinois,IL,4065,2632,1402,2868,1060,1808,12810696
East North Central,Indiana,IN,2765,1961,793,1285,471,812,6815701
West North Central,Kansas,KS,1113,759,348,487,194,292,2946356
East South Central,Kentucky,KY,1704,1140,558,583,202,381,4522483
West South Central,Louisiana,LA,1150,830,312,463,168,295,4670195
New England,Massachusetts,MA,4278,2908,1335,9666,3806,5858,7078146
South Atlantic,Maryland,MD,2764,1938,812,1284,470,813,6217591
New England,Maine,ME,1278,779,487,785,320,465,1365759
East North Central,Michigan,MI,3768,2562,1184,2778,1063,1715,10096700
West North Central,Minnesota,MN,3716,2400,1281,2745,1049,1691,5746751
West North Central,Missouri,MO,2359,1419,918,1720,650,1070,6171512
East South Central,Mississippi,MS,271,159,110,88,27,61,2960677
Mountain,Montana,MT,744,511,230,424,167,257,1093706
South Atlantic,North Carolina,NC,3609,2458,1140,2003,774,1229,10529778
West North Central,North Dakota,ND,290,196,92,184,64,120,789744
West North Central,Nebraska,NE,1280,908,366,496,196,299,1975020
New England,New Hampshire,NH,649,434,214,522,201,321,1383635
Mid-Atlantic,New Jersey,NJ,4821,3319,1489,2622,968,1653,9338704
Mountain,New Mexico,NM,1217,779,420,755,329,425,2123356
Mountain,Nevada,NV,2748,2034,691,545,183,361,3145020
Mid-Atlantic,New York,NY,37793,26504,10819,38258,14958,23294,20283564
East North Central,Ohio,OH,5020,3408,1586,2742,1026,1714,11825742
West South Central,Oklahoma,OK,1674,1073,588,657,263,394,3980153
Pacific,Oregon,OR,4167,2764,1338,1011,415,592,4277874
Mid-Atlantic,Pennsylvania,PA,5450,3772,1645,3914,1455,2454,13032732
New England,Rhode Island,RI,614,440,170,472,176,295,1101860
South Atlantic,South Carolina,SC,1552,1154,397,490,163,327,5167731
West North Central,South Dakota,SD,517,353,161,300,105,195,893916
East South Central,Tennessee,TN,2678,1885,784,765,290,475,6967314
West South Central,Texas,TX,7518,5017,2460,3757,1421,2335,29545499
Mountain,Utah,UT,1664,1072,576,746,285,459,3322389
South Atlantic,Virginia,VA,3430,2327,1083,1905,746,1158,8694430
New England,Vermont,VT,1962,1155,793,629,255,374,644811
Pacific,Washington,WA,7013,4594,2310,4498,1842,2647,7803355
East North Central,Wisconsin,WI,2275,1534,723,1721,683,1036,5914391
South Atlantic,West Virginia,WV,682,428,250,141,60,81,1787788
Mountain,Wyoming,WY,247,108,138,158,57,101,578173
