Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,6000.000000,6110.000000,5660.000000,6110.000000,4623.467773,74195000
2000-01-05,5800.000000,6060.000000,5520.000000,5580.000000,4222.414063,74680000
2000-01-06,5750.000000,5780.000000,5580.000000,5620.000000,4252.682129,54390000
2000-01-07,5560.000000,5670.000000,5360.000000,5540.000000,4192.147949,40305000
2000-01-10,5600.000000,5770.000000,5580.000000,5770.000000,4366.187012,46880000
2000-01-11,5820.000000,6100.000000,5770.000000,5770.000000,4366.187012,59745000
2000-01-12,5610.000000,5740.000000,5600.000000,5720.000000,4328.352051,29220000
2000-01-13,5600.000000,5740.000000,5560.000000,5710.000000,4320.786133,41190000
2000-01-14,5720.000000,5880.000000,5680.000000,5830.000000,4411.589355,49375000
2000-01-17,6000.000000,6180.000000,5920.000000,6100.000000,4615.900879,63505000
2000-01-18,6160.000000,6160.000000,5980.000000,6100.000000,4615.900879,45260000
2000-01-19,6000.000000,6040.000000,5960.000000,5960.000000,4509.962891,40205000
2000-01-20,5860.000000,6040.000000,5820.000000,6040.000000,4570.498047,37315000
2000-01-21,5950.000000,5980.000000,5880.000000,5880.000000,4449.425781,32535000
2000-01-24,5800.000000,5900.000000,5700.000000,5700.000000,4313.218262,34355000
2000-01-25,5520.000000,5640.000000,5440.000000,5440.000000,4116.474609,44250000
2000-01-26,5500.000000,5520.000000,5410.000000,5480.000000,4146.743652,29285000
2000-01-27,5480.000000,5620.000000,5430.000000,5520.000000,4177.010742,27900000
2000-01-28,5640.000000,5880.000000,5540.000000,5820.000000,4404.022949,38315000
2000-01-31,5640.000000,5730.000000,5560.000000,5580.000000,4222.414063,39630000
2000-02-01,5600.000000,5680.000000,5260.000000,5320.000000,4025.670410,71470000
2000-02-02,5220.000000,5370.000000,5110.000000,5250.000000,3972.700195,64105000
2000-02-03,5250.000000,5460.000000,4970.000000,5130.000000,3881.895996,142765000
2000-02-04,5130.000000,5130.000000,5130.000000,5130.000000,3881.895996,0
2000-02-07,5140.000000,5330.000000,5040.000000,5240.000000,3965.133545,64140000
2000-02-08,5340.000000,5480.000000,5310.000000,5430.000000,4108.906738,58460000
2000-02-09,5560.000000,5720.000000,5480.000000,5720.000000,4328.352051,51050000
2000-02-10,5660.000000,5880.000000,5600.000000,5760.000000,4358.621094,61845000
2000-02-11,5960.000000,5960.000000,5680.000000,5700.000000,4313.218262,34660000
2000-02-14,5600.000000,5660.000000,5340.000000,5380.000000,4071.073242,44140000
2000-02-15,5380.000000,5420.000000,5140.000000,5200.000000,3934.867188,38315000
2000-02-16,5180.000000,5200.000000,4780.000000,5000.000000,3783.525391,73115000
2000-02-17,4940.000000,5100.000000,4910.000000,5080.000000,3844.061035,65185000
2000-02-18,5370.000000,5630.000000,5160.000000,5300.000000,4010.536377,108750000
2000-02-21,5200.000000,5260.000000,5030.000000,5070.000000,3836.494141,26485000
2000-02-22,5000.000000,5240.000000,5000.000000,5120.000000,3874.330322,24180000
2000-02-23,5220.000000,5260.000000,5100.000000,5140.000000,3889.463623,27720000
2000-02-24,5120.000000,5240.000000,5060.000000,5070.000000,3836.494141,26075000
2000-02-25,5080.000000,5150.000000,4980.000000,5120.000000,3874.330322,27875000
2000-02-28,5000.000000,5050.000000,4800.000000,4800.000000,3632.182617,30140000
2000-02-29,4900.000000,5140.000000,4840.000000,5120.000000,3874.330322,51820000
2000-03-01,5120.000000,5120.000000,5120.000000,5120.000000,3874.330322,0
2000-03-02,5880.000000,5880.000000,5520.000000,5880.000000,4449.425781,117750000
2000-03-03,6200.000000,6250.000000,5880.000000,6000.000000,4540.230469,140990000
2000-03-06,6000.000000,6050.000000,5600.000000,5640.000000,4267.816406,39150000
2000-03-07,5600.000000,5640.000000,5480.000000,5620.000000,4252.682129,30070000
2000-03-08,5520.000000,6000.000000,5500.000000,5920.000000,4479.693848,32460000
2000-03-09,5970.000000,5980.000000,5620.000000,5620.000000,4252.682129,55890000
2000-03-10,5790.000000,5800.000000,5520.000000,5540.000000,4192.147949,28605000
2000-03-13,5480.000000,5490.000000,5160.000000,5180.000000,3919.732178,32215000
2000-03-14,5170.000000,5380.000000,5160.000000,5210.000000,3942.431885,30060000
2000-03-15,5200.000000,5400.000000,5120.000000,5400.000000,4086.208496,46105000
2000-03-16,5480.000000,5520.000000,5360.000000,5400.000000,4086.208496,28795000
2000-03-17,5540.000000,5560.000000,5400.000000,5480.000000,4146.743652,24080000
2000-03-20,5600.000000,5710.000000,5530.000000,5660.000000,4282.951172,26365000
2000-03-21,5700.000000,5940.000000,5610.000000,5880.000000,4449.425781,44925000
2000-03-22,5960.000000,6300.000000,5880.000000,6200.000000,4691.568848,86975000
2000-03-23,6480.000000,6580.000000,6200.000000,6200.000000,4691.568848,64950000
2000-03-24,6320.000000,7120.000000,6180.000000,6800.000000,5145.594238,90260000
2000-03-27,6960.000000,7040.000000,6700.000000,6800.000000,5145.594238,67730000
2000-03-28,6900.000000,7260.000000,6820.000000,7030.000000,5319.635742,74425000
2000-03-29,7030.000000,7680.000000,6980.000000,7660.000000,5796.359375,78090000
2000-03-30,7520.000000,7560.000000,7050.000000,7050.000000,5334.771484,74645000
2000-03-31,6800.000000,7070.000000,6650.000000,6700.000000,5069.924316,63855000
2000-04-03,6920.000000,7320.000000,6860.000000,7100.000000,5372.604980,56805000
2000-04-04,7000.000000,7290.000000,6660.000000,6800.000000,5145.594238,58340000
2000-04-05,6800.000000,6800.000000,6800.000000,6800.000000,5145.594238,0
2000-04-06,6860.000000,6960.000000,6680.000000,6680.000000,5054.790527,47235000
2000-04-07,6860.000000,7260.000000,6780.000000,7200.000000,5448.276367,42355000
2000-04-10,7500.000000,7500.000000,7200.000000,7300.000000,5523.946289,35885000
2000-04-11,7200.000000,7200.000000,6950.000000,7100.000000,5372.604980,29075000
2000-04-12,6960.000000,7030.000000,6860.000000,6910.000000,5228.831543,35250000
2000-04-13,6910.000000,6910.000000,6910.000000,6910.000000,5228.831543,0
2000-04-14,6600.000000,6680.000000,6260.000000,6260.000000,4736.973633,62365000
2000-04-17,5420.000000,5750.000000,5340.000000,5520.000000,4177.010742,78050000
2000-04-18,6200.000000,6240.000000,5860.000000,6040.000000,4570.498047,73730000
2000-04-19,6300.000000,6460.000000,5860.000000,6000.000000,4540.230469,60615000
2000-04-20,5960.000000,6160.000000,5920.000000,6020.000000,4555.362305,37335000
2000-04-21,6060.000000,6180.000000,5970.000000,6050.000000,4578.064453,26425000
2000-04-24,5970.000000,6030.000000,5760.000000,5800.000000,4388.888672,27830000
2000-04-25,5620.000000,5760.000000,5520.000000,5640.000000,4267.816406,34900000
2000-04-26,5820.000000,5860.000000,5600.000000,5600.000000,4237.548340,39290000
2000-04-27,5520.000000,5700.000000,5400.000000,5400.000000,4086.208496,54110000
2000-04-28,5500.000000,6100.000000,5460.000000,6000.000000,4540.230469,75530000
2000-05-01,6000.000000,6000.000000,6000.000000,6000.000000,4540.230469,0
2000-05-02,6200.000000,6530.000000,6120.000000,6280.000000,4752.107422,72335000
2000-05-03,6240.000000,6260.000000,6090.000000,6180.000000,4676.436035,26585000
2000-05-04,6220.000000,6360.000000,6140.000000,6180.000000,4676.436035,26100000
2000-05-05,6180.000000,6180.000000,6180.000000,6180.000000,4676.436035,0
2000-05-08,6400.000000,6700.000000,6300.000000,6560.000000,4963.983887,52695000
2000-05-09,6560.000000,6560.000000,6560.000000,6560.000000,4963.983887,0
2000-05-10,6320.000000,6390.000000,6270.000000,6350.000000,4805.077148,27620000
2000-05-11,6350.000000,6350.000000,6350.000000,6350.000000,4805.077148,0
2000-05-12,6420.000000,6440.000000,6160.000000,6160.000000,4661.302734,47170000
2000-05-15,6290.000000,6530.000000,6220.000000,6440.000000,4873.179688,47120000
2000-05-16,6510.000000,6800.000000,6510.000000,6800.000000,5145.594238,39620000
2000-05-17,7000.000000,7340.000000,6920.000000,6920.000000,5236.398438,76235000
2000-05-18,6740.000000,7000.000000,6680.000000,6800.000000,5145.594238,36580000
2000-05-19,6740.000000,6900.000000,6600.000000,6900.000000,5221.263672,41450000
2000-05-22,6720.000000,6830.000000,6620.000000,6670.000000,5047.222656,36385000
2000-05-23,6500.000000,6700.000000,6350.000000,6380.000000,4827.777832,41290000
2000-05-24,6160.000000,6370.000000,5920.000000,6200.000000,4691.568848,72150000
2000-05-25,6330.000000,6380.000000,5930.000000,6000.000000,4540.230469,85965000
2000-05-26,5900.000000,5990.000000,5600.000000,5600.000000,4237.548340,67100000
2000-05-29,5260.000000,5680.000000,5240.000000,5460.000000,4131.609863,67130000
2000-05-30,5460.000000,5460.000000,5460.000000,5460.000000,4131.609863,0
2000-05-31,6000.000000,6290.000000,5960.000000,6160.000000,4661.302734,83935000
2000-06-01,6200.000000,6410.000000,6120.000000,6300.000000,4767.242188,50230000
2000-06-02,6690.000000,6900.000000,6510.000000,6620.000000,5009.387695,84385000
2000-06-05,6920.000000,6980.000000,6680.000000,6740.000000,5100.190918,48010000
2000-06-06,6740.000000,6740.000000,6740.000000,6740.000000,5100.190918,0
2000-06-07,6600.000000,6980.000000,6510.000000,6800.000000,5145.594238,53365000
2000-06-08,6660.000000,6960.000000,6530.000000,6530.000000,4941.285156,58550000
2000-06-09,6600.000000,7040.000000,6530.000000,7020.000000,5312.068848,63860000
2000-06-12,7200.000000,7280.000000,7030.000000,7190.000000,5440.709961,49515000
2000-06-13,7060.000000,7100.000000,6870.000000,7060.000000,5342.337402,42495000
2000-06-14,7230.000000,7640.000000,7090.000000,7640.000000,5781.225586,63020000
2000-06-15,7560.000000,7560.000000,7000.000000,7000.000000,5296.933594,61225000
2000-06-16,6900.000000,6960.000000,6710.000000,6740.000000,5100.190918,66455000
2000-06-19,6600.000000,6950.000000,6550.000000,6700.000000,5069.924316,53560000
