waiting,duration
80,4.0166667
71,2.15
57,4.0
80,4.0
75,4.0
77,2.0
60,4.383333299999999
86,4.2833333
77,2.0333333
56,4.8333333
81,1.8333332999999998
50,5.45
89,1.6166667
54,4.866666700000001
90,4.383333299999999
73,1.7666667
60,4.6666667
83,2.0
65,4.7333333
82,4.2166667
84,1.9
54,4.9666667
85,2.0
58,4.0
79,2.0
57,4.0
88,2.8333333
68,4.5
76,4.0666667
78,3.7166667
74,3.5166667
85,4.4666667
75,2.2166667
65,4.883333299999999
76,2.6
58,4.15
91,2.2
50,4.7666667
87,1.8333332999999998
48,4.6
93,2.2666667
54,4.133333299999999
86,2.0
53,4.0
78,2.0
52,4.0
83,1.8833332999999999
60,4.2666667
87,2.0833333
49,4.4666667
80,2.5
60,4.0
92,1.7666667
43,4.3333333
89,2.1833332999999997
60,4.4833333
84,3.8833333
69,3.3333333
74,3.7333333
71,4.0
108,1.95
50,5.2666667
77,2.0
57,4.0
80,2.0
61,4.0
82,2.0
48,4.0
81,3.5333333
73,2.1666667
62,4.5
79,2.0166667
54,4.15
80,4.2
73,4.3333333
81,1.9333333
62,4.65
81,3.8166667000000003
71,4.0333333
79,4.1666667
81,4.6666667
74,1.8166667
59,4.0
81,3.0
66,4.0
87,2.0
53,4.45
80,2.05
50,4.25
87,1.9166667000000002
51,4.6666667
82,1.7333333
58,4.383333299999999
81,1.7666667
49,4.6
92,1.8666667000000001
50,4.45
88,1.6333333
62,5.0333333
93,1.8166667
56,5.1
89,1.6333333
51,4.2833333
79,2.0
58,4.0
82,2.0
52,4.5333333
88,2.0
52,4.0
78,2.9333332999999997
69,4.7333333
75,3.9
77,1.95
53,4.116666700000001
80,1.8
55,4.6666667
87,1.8333332999999998
53,4.7
85,2.1166667
61,4.7833333
93,1.8166667
54,4.1
76,4.65
80,4.0
81,2.0
59,4.0
86,4.0
78,4.2166667
71,4.133333299999999
77,3.9333332999999997
76,3.75
94,4.4166667
75,2.4666667
50,4.1666667
83,3.8
82,4.3166667
72,3.8666667
77,4.6833333
75,1.7
65,4.9666667
79,4.2666667
72,4.5833333
78,4.0
77,4.0
79,4.0
75,4.0
78,1.9833333
64,4.6
80,0.8333333
49,4.9166667
88,1.7333333
54,4.5833333
85,1.7
51,4.75
96,1.8333332999999998
50,4.5
80,1.8666667000000001
78,4.45
81,4.45
72,4.0
75,4.8
78,4.0
87,4.0
69,2.0
55,4.0
83,1.9333333
49,4.5833333
82,2.0
57,3.7
84,2.8666667
57,4.8333333
84,3.45
73,4.383333299999999
78,1.8
57,4.4
79,2.4833333
57,4.5166667
90,2.1
62,4.35
87,4.366666700000001
78,1.7833332999999998
52,4.9166667
98,1.8166667
48,4.0
78,4.0
79,4.0
65,3.8666667
84,1.85
50,4.7
83,2.0166667
60,4.4666667
80,1.8666667000000001
50,4.1666667
88,1.9
50,4.25
84,3.25
74,4.2166667
76,1.8833332999999999
65,4.9833333
89,1.85
49,4.0
88,1.9666667000000002
51,4.7666667
78,4.0
85,2.0
65,4.0
75,4.0
77,2.3833333
69,4.4166667
92,4.2166667
68,4.366666700000001
87,2.0
61,4.45
81,1.75
55,4.5
93,1.6166667
53,4.7
84,2.5666667000000003
70,3.7
73,4.2333333
93,1.9333333
50,4.35
87,4.0
77,4.0
74,4.0
72,4.2166667
82,4.0
74,4.133333299999999
80,1.8833332999999999
49,4.4666667
91,1.95
53,4.2166667
86,1.7166667000000002
49,4.45
79,4.25
89,3.9666667
87,4.383333299999999
76,1.9666667000000002
59,4.45
80,4.2666667
89,1.9166667000000002
45,4.4166667
93,3.0
72,4.0
71,2.0
54,4.0
79,3.2833333
74,1.8333332999999998
65,4.616666700000001
78,1.8333332999999998
57,4.616666700000001
87,4.6
72,4.25
84,1.9333333
47,4.9833333
84,1.9666667000000002
57,4.3
87,4.2
68,4.5333333
86,4.4
75,4.616666700000001
73,2.0
53,4.0
82,4.0
93,3.9166667
77,2.0
54,4.5
96,1.8
48,4.0
89,2.75
63,4.7333333
84,3.9666667
76,1.95
62,4.9666667
83,1.85
50,4.8
85,4.0
78,4.0
78,4.0
81,4.0
78,4.0
76,4.0
74,4.0
81,2.0
66,4.0
84,1.9333333
48,4.3333333
93,1.6666667000000002
47,4.7666667
87,1.95
51,4.6833333
78,1.9333333
54,4.4166667
87,2.1333333
52,4.0833333
85,2.0666667000000003
58,4.0
88,4.0
79,2.0
